No,SPECODE,Local-Name,SPECIES-GROUP,ROY_CLASS,COMM-Gr,Dip/NonDip
54,TEPI,TEP PHIROU,5,NONCLASS ,Commercial,Non-Dip
55,THNR,THNONG KROHORM,5,LUX,Commercial,Non-Dip
56,THNS,THNONG SOR,5,LUX,Commercial,Non-Dip
57,TRTM,TRORP TOM,5,THIRD,Commercial,Non-Dip
58,TRYG,TROR YING,5,LUX,Commercial,Non-Dip
59,TTRV,TATRAV,5,LUX,Commercial,Non-Dip
60,ANKN,ANGKANH,6,LUX,NonCommercial,Non-Dip
61,ANKT,ANGKAT TMAAT,6,FIRST,NonCommercial,Non-Dip
62,ANOM,ANGKRANG PHNOM,6,NONCLASS ,NonCommercial,Non-Dip
63,ATNG,ATEANG/ROTEANG,6,THIRD,NonCommercial,Non-Dip
64,BADM,BAK DERM,6,NONCLASS ,NonCommercial,Non-Dip
65,BAKG,BANGKANG,6,NONCLASS ,NonCommercial,Non-Dip
66,BDNG,BAKDORNG,6,NONCLASS ,NonCommercial,Non-Dip
67,BELY,BELOY,6,FIRST,NonCommercial,Non-Dip
68,BKSV,BANGKEOU SVA,6,NONCLASS ,NonCommercial,Non-Dip
69,BNKO,BAG KHEOU,6,THIRD,NonCommercial,Non-Dip
70,BYPV,BAY POU VAING,6,THIRD,NonCommercial,Non-Dip
71,CASA,KHCHOENG,6,THIRD,NonCommercial,Non-Dip
72,CCHB,CHOEUNG CHAB,6,LUX,NonCommercial,Non-Dip
73,CHMK,CHAMRIEK,6,NONCLASS ,NonCommercial,Non-Dip
74,CHNY,CHORNY,6,NONCLASS ,NonCommercial,Non-Dip
75,CHPL,CHHOE PHLOEUNG,6,NONCLASS ,NonCommercial,Non-Dip
76,CHRK,CHRAKENG,6,NONCLASS ,NonCommercial,Non-Dip
77,CHRM,CHANG KONG ROMEANG,6,NONCLASS ,NonCommercial,Non-Dip
78,CHRS,CHREIS,6,LUX,NonCommercial,Non-Dip
79,CHUT,CHORNG UOR THMAT,6,THIRD,NonCommercial,Non-Dip
80,CKTM,CHEK TUM,6,THIRD,NonCommercial,Non-Dip
81,CREY,CHREY,6,NONCLASS ,NonCommercial,Non-Dip
82,DKOR,DONGKOR,6,NONCLASS ,NonCommercial,Non-Dip
83,DOKM,DOK MEY,6,NONCLASS ,NonCommercial,Non-Dip
84,HISN,HAISANH/NGAYSANG/CHANSAR,6,LUX,NonCommercial,Non-Dip
85,KAOM,KANGSENGPHNOM,6,NONCLASS ,NonCommercial,Non-Dip
86,KCAS,KCHAS,6,NONCLASS ,NonCommercial,Non-Dip
87,KDAG,KANN DEANG,6,NONCLASS ,NonCommercial,Non-Dip
88,KDCH,KDURCH,6,NONCLASS ,NonCommercial,Non-Dip
89,KDOL,KDOL,6,THIRD,NonCommercial,Non-Dip
90,KES,KES,6,FIRST,NonCommercial,Non-Dip
91,KKCM,KONG KANGCHHMOL,6,THIRD,NonCommercial,Non-Dip
92,KKGN,KONG KANGNHY,6,THIRD,NonCommercial,Non-Dip
93,KKOM,KONG KANGPHNOM,6,NONCLASS ,NonCommercial,Non-Dip
94,KNDL,KANNDOL,6,THIRD,NonCommercial,Non-Dip
95,KNPR,KHNOR PREY,6,THIRD,NonCommercial,Non-Dip
96,KRAG,KRANG,6,NONCLASS ,NonCommercial,Non-Dip
97,KRAS,KREAS,6,THIRD,NonCommercial,Non-Dip
98,KRBO,KRORBAO,6,THIRD,NonCommercial,Non-Dip
99,KRLA,KRORLANH,6,FIRST,NonCommercial,Non-Dip
100,KRON,KRONG,6,NONCLASS ,NonCommercial,Non-Dip
101,KTOM,KHTOM,6,NONCLASS ,NonCommercial,Non-Dip
102,KWAV,KHVAO,6,SECOND,NonCommercial,Non-Dip
103,LGNG,LO NGIENG,6,THIRD,NonCommercial,Non-Dip
104,MAKG,MAK BREING,6,NONCLASS ,NonCommercial,Non-Dip
105,MAKP,MAK PRANG,6,NONCLASS ,NonCommercial,Non-Dip
106,MAKU,MAK KLOEU,6,NONCLASS ,NonCommercial,Non-Dip
107,MNPR,MEAN PREY,6,NONCLASS ,NonCommercial,Non-Dip
108,NENS,NEANG SAR,6,NONCLASS ,NonCommercial,Non-Dip
109,PANG,PANG,6,NONCLASS ,NonCommercial,Non-Dip
110,PHNV,PHNHEAV,6,NONCLASS ,NonCommercial,Non-Dip
111,PHON,PHAONG,6,THIRD,NonCommercial,Non-Dip
112,PHUT,PROR HOUT,6,NONCLASS ,NonCommercial,Non-Dip
113,PLON,PLONG,6,NONCLASS ,NonCommercial,Non-Dip
114,PNAG,PHNEANG,6,NONCLASS ,NonCommercial,Non-Dip
115,PNGS,PHNGEAS,6,NONCLASS ,NonCommercial,Non-Dip
116,POBY,POPUOL BAY,6,NONCLASS ,NonCommercial,Non-Dip
117,POCV,PON SVAR,6,NONCLASS ,NonCommercial,Non-Dip
118,POKH,POPEA KHE,6,NONCLASS ,NonCommercial,Non-Dip
119,PONR,PONG RO,6,NONCLASS ,NonCommercial,Non-Dip
120,PPTH,POPULTHMOR,6,NONCLASS ,NonCommercial,Non-Dip
121,PPUL,PHNEL/POPOUL,6,FIRST,NonCommercial,Non-Dip
122,PRPN,PREAS PHNOV/SOMBOK KROHOM,6,NONCLASS ,NonCommercial,Non-Dip
123,PRUS,PROUS,6,THIRD,NonCommercial,Non-Dip
124,PYPK,PHKAI PROEK,6,FIRST,NonCommercial,Non-Dip
125,RAIT,RAING TOEK,6,NONCLASS ,NonCommercial,Non-Dip
126,ROKA,ROKA,6,NONCLASS ,NonCommercial,Non-Dip
127,RUNG,ROUNG,6,NONCLASS ,NonCommercial,Non-Dip
128,SABL,SAMBOUR LOVENG,6,NONCLASS ,NonCommercial,Non-Dip
129,SARG,SAM RONG,6,NONCLASS ,NonCommercial,Non-Dip
130,SBMS,SAMBOUR MEAS,6,NONCLASS ,NonCommercial,Non-Dip
131,SDAV,SDAV,6,NONCLASS ,NonCommercial,Non-Dip
132,SDEY,SDEY,6,FIRST,NonCommercial,Non-Dip
133,SLEN,SLENG,6,NONCLASS ,NonCommercial,Non-Dip
134,SMCH,SMACH,6,THIRD,NonCommercial,Non-Dip
135,SME,SME,6,FIRST,NonCommercial,Non-Dip
136,SMKB,SMA KRABEY,6,THIRD,NonCommercial,Non-Dip
137,SNAY,SNAY,6,NONCLASS ,NonCommercial,Non-Dip
138,SNOL,SNUOL,6,NONCLASS ,NonCommercial,Non-Dip
139,SOUY,SOURY,6,NONCLASS ,NonCommercial,Non-Dip
140,SPOR,SOM POR,6,FIRST,NonCommercial,Non-Dip
141,SPPY,SPEOU PREY,6,NONCLASS ,NonCommercial,Non-Dip
142,SPTK,SPEOU TEK,6,NONCLASS ,NonCommercial,Non-Dip
143,SRKM,SRAKOM,6,SECOND,NonCommercial,Non-Dip
144,SVAK,SVAY SVAK,6,NONCLASS ,NonCommercial,Non-Dip
145,SVCT,SVAY CHANTI,6,NONCLASS ,NonCommercial,Non-Dip
146,SVPT,SVAY PONGTRONG,6,NONCLASS ,NonCommercial,Non-Dip
147,TKOV,TKOV,6,NONCLASS ,NonCommercial,Non-Dip
148,TLOK,THLOK,6,THIRD,NonCommercial,Non-Dip
149,TOLP,TOUNLORP,6,NONCLASS ,NonCommercial,Non-Dip
150,TPOG,TOM POUNG,6,NONCLASS ,NonCommercial,Non-Dip
151,TRAG,TRANG,6,NONCLASS ,NonCommercial,Non-Dip
152,TREN,TRA MENG,6,THIRD,NonCommercial,Non-Dip
153,TRMN,TRORMOUNG,6,THIRD,NonCommercial,Non-Dip
154,TRSK,TRORMOUNGSEK,6,FIRST,NonCommercial,Non-Dip
155,WYNG,VOR YONG,6,FIRST,NonCommercial,Non-Dip
156,ACSA,ACH SAT,7,NONCLASS ,NonCommercial,Non-Dip
157,ADCH,ACHDERK,7,NONCLASS ,NonCommercial,Non-Dip
158,AKSL,ANGKEA SEL,7,NONCLASS ,NonCommercial,Non-Dip
159,AMBB,AMBENG BEK,7,NONCLASS ,NonCommercial,Non-Dip
160,AMCN,AMBENG CHAN,7,NONCLASS ,NonCommercial,Non-Dip
161,AMPI,AMPIL TOEUK PREY,7,NONCLASS ,NonCommercial,Non-Dip
162,ANCH,ANGKOCH,7,NONCLASS ,NonCommercial,Non-Dip
163,ANKB,ANGKEA BOS,7,NONCLASS ,NonCommercial,Non-Dip
164,ANRD,ANGRE DEK,7,NONCLASS ,NonCommercial,Non-Dip
165,APEN,APHEAN,7,NONCLASS ,NonCommercial,Non-Dip
166,ATES,ATES,7,NONCLASS ,NonCommercial,Non-Dip
167,ATSR,ANNTUNG SOR,7,NONCLASS ,NonCommercial,Non-Dip
168,BAKK,BANGKONG KENGKONG,7,NONCLASS ,NonCommercial,Non-Dip
169,BAKP,BAKPAO,7,NONCLASS ,NonCommercial,Non-Dip
170,BBOK,BOR BORK,7,NONCLASS ,NonCommercial,Non-Dip
171,BOPR,BO PROEUK,7,NONCLASS ,NonCommercial,Non-Dip
172,BRCH,BROR CHOK,7,NONCLASS ,NonCommercial,Non-Dip
173,BTIL,BATPHTIL,7,NONCLASS ,NonCommercial,Non-Dip
174,CABB,CHAM BAK BARAING,7,NONCLASS ,NonCommercial,Non-Dip
175,CHCK,CHHOENG CHKER,7,NONCLASS ,NonCommercial,Non-Dip
176,CHEK,CHANG ENG SEK,7,NONCLASS ,NonCommercial,Non-Dip
177,CHHA,CHHAR,7,NONCLASS ,NonCommercial,Non-Dip
178,CHHU,CHHOM POU PREY,7,NONCLASS ,NonCommercial,Non-Dip
179,CHKG,CHEUNG KRORVAING,7,NONCLASS ,NonCommercial,Non-Dip
180,CHKP,CHUNGKONG PHON,7,NONCLASS ,NonCommercial,Non-Dip
181,CHKU,CHEUNG KRAPEU,7,NONCLASS ,NonCommercial,Non-Dip
182,CHLS,CHORNLOS,7,NONCLASS ,NonCommercial,Non-Dip
183,CHNA,CHANG NANG,7,NONCLASS ,NonCommercial,Non-Dip
184,CHNO,CHNOK,7,NONCLASS ,NonCommercial,Non-Dip
185,CHOV,CHOV,7,NONCLASS ,NonCommercial,Non-Dip
186,CHPS,CHHOETEAL PREUS,7,NONCLASS ,NonCommercial,Non-Dip
187,CHTU,CHNOK TROU,7,NONCLASS ,NonCommercial,Non-Dip
188,CTES,CHORNTESPLOUK,7,NONCLASS ,NonCommercial,Non-Dip
189,DAKD,DANG KEAP KDAM,7,NONCLASS ,NonCommercial,Non-Dip
190,DGPR,DANGKEABPROEUS,7,NONCLASS ,NonCommercial,Non-Dip
191,DKPO,DOKPO,7,NONCLASS ,NonCommercial,Non-Dip
192,DNKY,DOUNKAY,7,NONCLASS ,NonCommercial,Non-Dip
193,DRDV,DORNG DAV,7,NONCLASS ,NonCommercial,Non-Dip
194,DYSP,DEY SAMPOCH,7,NONCLASS ,NonCommercial,Non-Dip
195,EPSH,EYSEIPHSAM SRACH,7,NONCLASS ,NonCommercial,Non-Dip
196,KACL,KACHEAL,7,NONCLASS ,NonCommercial,Non-Dip
197,KAKU,KAKHUCH,7,NONCLASS ,NonCommercial,Non-Dip
198,KANA,KANA,7,NONCLASS ,NonCommercial,Non-Dip
199,KANE,KANER,7,NONCLASS ,NonCommercial,Non-Dip
200,KANT,KANTOUT PREY,7,NONCLASS ,NonCommercial,Non-Dip
201,KATG,KATOUNG,7,NONCLASS ,NonCommercial,Non-Dip
202,KAYK,KA YOUK,7,NONCLASS ,NonCommercial,Non-Dip
203,KBAL KRORLORNG,,7,NONCLASS ,NonCommercial,Non-Dip
204,KBDA,KANCHOEU BEY DACH,7,NONCLASS ,NonCommercial,Non-Dip
205,KBDK,KBAL DERK,7,NONCLASS ,NonCommercial,Non-Dip
206,KBKK,KROBAO KHEK,7,NONCLASS ,NonCommercial,Non-Dip
207,KCHP,KA CHIEP,7,NONCLASS ,NonCommercial,Non-Dip
208,KDCE,KANDAB CHANG ET,7,NONCLASS ,NonCommercial,Non-Dip
209,KDCK,KDOR COMBROK,7,NONCLASS ,NonCommercial,Non-Dip
210,KHMA,KHANNMA,7,NONCLASS ,NonCommercial,Non-Dip
211,KHNH,KHNHE,7,NONCLASS ,NonCommercial,Non-Dip
212,KHOS,KHOS,7,NONCLASS ,NonCommercial,Non-Dip
213,KHTN,KHTING,7,NONCLASS ,NonCommercial,Non-Dip
214,KHVG,KHVENG,7,NONCLASS ,NonCommercial,Non-Dip
215,KKAL,KALKAL,7,NONCLASS ,NonCommercial,Non-Dip
216,KKKK,KALAP,7,NONCLASS ,NonCommercial,Non-Dip
217,KKLG,KBAL KRORLORNG,7,NONCLASS ,NonCommercial,Non-Dip
218,KLIG,KLING,7,NONCLASS ,NonCommercial,Non-Dip
219,KLNG,KLOUNG,7,NONCLASS ,NonCommercial,Non-Dip
220,KLPO,KLENG POR,7,NONCLASS ,NonCommercial,Non-Dip
221,KMPT,KOM PERT,7,NONCLASS ,NonCommercial,Non-Dip
222,KNAL,KNALL,7,NONCLASS ,NonCommercial,Non-Dip
223,KNAY,KNAY MORN,7,NONCLASS ,NonCommercial,Non-Dip
224,KODK,KORNDORK,7,NONCLASS ,NonCommercial,Non-Dip
225,KOKH,KON KHMOM,7,NONCLASS ,NonCommercial,Non-Dip
226,KOMT,KOKTMAT,7,NONCLASS ,NonCommercial,Non-Dip
227,KOMY,KO MOUY,7,NONCLASS ,NonCommercial,Non-Dip
228,KORK,KORK,7,NONCLASS ,NonCommercial,Non-Dip
229,KOTT,KORTHET,7,NONCLASS ,NonCommercial,Non-Dip
230,KRAK,KRORCHORK ANDERK,7,NONCLASS ,NonCommercial,Non-Dip
231,KREG,KROENG,7,NONCLASS ,NonCommercial,Non-Dip
232,KREM,KROR EM,7,NONCLASS ,NonCommercial,Non-Dip
233,KRMN,KROR MOURN,7,NONCLASS ,NonCommercial,Non-Dip
234,KROH,KROCH PREY,7,NONCLASS ,NonCommercial,Non-Dip
235,KRSR,KRORNG SOEUR,7,NONCLASS ,NonCommercial,Non-Dip
236,KRUS,KHOES REOUS,7,NONCLASS ,NonCommercial,Non-Dip
237,KRVN,KRORVANN,7,NONCLASS ,NonCommercial,Non-Dip
238,KTIT,KTITH,7,NONCLASS ,NonCommercial,Non-Dip
239,LORT,LORT,7,NONCLASS ,NonCommercial,Non-Dip
240,LORV,LOR VEA,7,NONCLASS ,NonCommercial,Non-Dip
241,LOVG,LORVING,7,NONCLASS ,NonCommercial,Non-Dip
242,LRLT,LORLOT,7,NONCLASS ,NonCommercial,Non-Dip
243,MADN,MADEHN ,7,NONCLASS ,NonCommercial,Non-Dip
244,MDAS,MADEHN MEAS,7,NONCLASS ,NonCommercial,Non-Dip
245,MMAG,MOR MANG,7,NONCLASS ,NonCommercial,Non-Dip
246,MTYK,MLOUTRAYOUK,7,NONCLASS ,NonCommercial,Non-Dip
247,NGOK,NGOK,7,NONCLASS ,NonCommercial,Non-Dip
248,NHAM,NHAM,7,NONCLASS ,NonCommercial,Non-Dip
249,NIV,NIV,7,NONCLASS ,NonCommercial,Non-Dip
250,ONLK,ONLOK PHOR EM,7,NONCLASS ,NonCommercial,Non-Dip
251,PAGA,PA NGAB,7,NONCLASS ,NonCommercial,Non-Dip
252,PAGS,PA NGES,7,NONCLASS ,NonCommercial,Non-Dip
253,PECH,PECH CHANGVA,7,NONCLASS ,NonCommercial,Non-Dip
254,PHLG,PHLANG,7,NONCLASS ,NonCommercial,Non-Dip
255,PHMA,PHNERK CHMA,7,NONCLASS ,NonCommercial,Non-Dip
256,PHNO,PHNOM PHNERNG,7,NONCLASS ,NonCommercial,Non-Dip
257,PHOR,PHOR,7,NONCLASS ,NonCommercial,Non-Dip
258,PLNG,PLOV NEANG,7,NONCLASS ,NonCommercial,Non-Dip
259,PLOG,PLUOUNG,7,NONCLASS ,NonCommercial,Non-Dip
260,PLOK,PLONG KEOV,7,NONCLASS ,NonCommercial,Non-Dip
261,PLOR,PLOR,7,NONCLASS ,NonCommercial,Non-Dip
262,PLPH,PLOV SOMPOUCH,7,NONCLASS ,NonCommercial,Non-Dip
263,PMVG,PROMOY VIENG,7,NONCLASS ,NonCommercial,Non-Dip
264,PNKP,PHNEK PREAP,7,NONCLASS ,NonCommercial,Non-Dip
265,PNOM,PON ORMBORK,7,NONCLASS ,NonCommercial,Non-Dip
266,POCH,POUCH,7,NONCLASS ,NonCommercial,Non-Dip
267,POPL,PO PLEAR,7,NONCLASS ,NonCommercial,Non-Dip
268,POUN,POUN,7,NONCLASS ,NonCommercial,Non-Dip
269,PPPR,POPLEA PRUES,7,NONCLASS ,NonCommercial,Non-Dip
270,PPVK,POPOULVAK,7,NONCLASS ,NonCommercial,Non-Dip
271,PREL,PREAL,7,NONCLASS ,NonCommercial,Non-Dip
272,PROM,PROMAT KHLAKMOM,7,NONCLASS ,NonCommercial,Non-Dip
273,PROM,PROUM,7,NONCLASS ,NonCommercial,Non-Dip
274,RANG,RAING,7,NONCLASS ,NonCommercial,Non-Dip
275,ROCG,ROM CHORNG,7,NONCLASS ,NonCommercial,Non-Dip
276,RODL,ROMDOUL,7,NONCLASS ,NonCommercial,Non-Dip
277,ROML,ROMLEANG,7,NONCLASS ,NonCommercial,Non-Dip
278,ROTY,ROMENGTHA NGE0Y,7,NONCLASS ,NonCommercial,Non-Dip
279,ROVN,ROVIENG,7,NONCLASS ,NonCommercial,Non-Dip
280,RPCK,ROMPEAT CHROUK,7,NONCLASS ,NonCommercial,Non-Dip
281,SADA,SANDA,7,NONCLASS ,NonCommercial,Non-Dip
282,SAHA,SANG HA,7,NONCLASS ,NonCommercial,Non-Dip
283,SAND,SANDAN,7,NONCLASS ,NonCommercial,Non-Dip
284,SANK,SANG KE,7,NONCLASS ,NonCommercial,Non-Dip
285,SAVP,SANGVA PICH,7,NONCLASS ,NonCommercial,Non-Dip
286,SBTS,SAMBOUR TES,7,NONCLASS ,NonCommercial,Non-Dip
287,SEMN,SEMORN\ ROL,7,NONCLASS ,NonCommercial,Non-Dip
288,SKPL,SLAKRORPOUL,7,NONCLASS ,NonCommercial,Non-Dip
289,SLCH,SLA KCHEY,7,NONCLASS ,NonCommercial,Non-Dip
290,SLET,SLOEK LO ET,7,NONCLASS ,NonCommercial,Non-Dip
291,SLNG,SOM LEANG,7,NONCLASS ,NonCommercial,Non-Dip
292,SOPI,SOPHY,7,NONCLASS ,NonCommercial,Non-Dip
293,SREG,CHHKER SRERNG,7,NONCLASS ,NonCommercial,Non-Dip
294,SRMO,SRORMOR,7,NONCLASS ,NonCommercial,Non-Dip
295,TAPL,TAPIL,7,NONCLASS ,NonCommercial,Non-Dip
296,TBOT,TABORT,7,NONCLASS ,NonCommercial,Non-Dip
297,TENG,TENG,7,NONCLASS ,NonCommercial,Non-Dip
298,THME,THMEAS,7,NONCLASS ,NonCommercial,Non-Dip
299,THNO,THNOT PRENG,7,NONCLASS ,NonCommercial,Non-Dip
300,THTR,THMENH TREY,7,NONCLASS ,NonCommercial,Non-Dip
301,TMAK,TLERM ANNDERK,7,NONCLASS ,NonCommercial,Non-Dip
302,TNIV,TAONIV,7,NONCLASS ,NonCommercial,Non-Dip
303,TOUK,TOUK,7,NONCLASS ,NonCommercial,Non-Dip
304,TRBL,TROR ORL,7,NONCLASS ,NonCommercial,Non-Dip
305,TRCU,TRA BEK CHOU,7,NONCLASS ,NonCommercial,Non-Dip
306,TREL,TREAL,7,FIRST,NonCommercial,Non-Dip
307,TROG,TRORNG,7,NONCLASS ,NonCommercial,Non-Dip
308,TRSK,TRORSEK  / TRAMKANG,7,NONCLASS ,NonCommercial,Non-Dip
309,TRYA,TROR YAK,7,NONCLASS ,NonCommercial,Non-Dip
310,TRYG,TROR YORNG,7,NONCLASS ,NonCommercial,Non-Dip
311,TTPY,TOTIM PREY,7,SECOND,NonCommercial,Non-Dip
312,UNKN,UNKNOWN,7,UNKN,NonCommercial,Non-Dip
313,VEAY,VEAY,7,NONCLASS ,NonCommercial,Non-Dip
314,VOEG,VOENG,7,NONCLASS ,NonCommercial,Non-Dip
315,YEAM,YEAM,7,NONCLASS ,NonCommercial,Non-Dip
316,YOUK,YOUK,7,NONCLASS ,NonCommercial,Non-Dip
317,KHLG,KHLONG,2,SECOND,Commercial,Dip
318,TRAC,TRACH,2,SECOND,Commercial,Dip
319,PHDK,PHDEAK,7,NONCLASS,NonCommercial,Non-Dip
320,CHBG,CHHOETEAL BANGKOUNEANGO,7,NONCLASS,NonCommercial,Non-Dip
321,CHBR,CHHOETEAL BRENG,7,NONCLASS,NonCommercial,Non-Dip
322,CHTR,CHHOETEAL CHHNGAR,7,NONCLASS,NonCommercial,Non-Dip
323,CHMI,CHHOETEAL MOSAU,7,NONCLASS,NonCommercial,Non-Dip
324,CHRH,CHORCHONG,7,NONCLASS,NonCommercial,Non-Dip
325,CRMS,CHRASMAS,7,NONCLASS,NonCommercial,Non-Dip
326,KKMS,KOKI MOSAU,7,NONCLASS,NonCommercial,Non-Dip
327,KKPN,KOKI PHNONG\KAMNHAN,7,NONCLASS,NonCommercial,Non-Dip
328,LMBI,LUMBOR,7,NONCLASS,NonCommercial,Non-Dip
329,PCEK,PHCEK,7,NONCLASS,NonCommercial,Non-Dip
330,TBEG,TBENG,7,NONCLASS,NonCommercial,Non-Dip
331,KHOV,KCHOV/KAMLENG,7,NONCLASS,NonCommercial,Non-Dip
332,KKDK,KOKI DEK,7,NONCLASS,NonCommercial,Non-Dip
333,KKKS,KOKI KHASAC,7,NONCLASS,NonCommercial,Non-Dip
334,KKTM,KOKI THMOR,7,NONCLASS,NonCommercial,Non-Dip
335,PPEL,POPEL,7,NONCLASS,NonCommercial,Non-Dip
336,RINM,RAING PHNOM,7,NONCLASS,NonCommercial,Non-Dip
337,TRLT,TRORLAT,7,NONCLASS,NonCommercial,Non-Dip
338,ANKM,ANGKOT KHMAU,7,NONCLASS,NonCommercial,Non-Dip
339,ATTT,ATITH/NEANG PHOR EK,7,NONCLASS,NonCommercial,Non-Dip
340,BENG,BENG,7,NONCLASS,NonCommercial,Non-Dip
341,BSNK,BOSNEAK,7,NONCLASS,NonCommercial,Non-Dip
342,CHBK,CHAM BAK,7,NONCLASS,NonCommercial,Non-Dip
343,CHKM,CHHOEU KHMAV/NEANG KHMAV,7,NONCLASS,NonCommercial,Non-Dip
344,CHKO,CHOEUNG KO,7,NONCLASS,NonCommercial,Non-Dip
345,CHKR,CHAN KRASNA,7,NONCLASS,NonCommercial,Non-Dip
346,CHLK,CHHLIK,7,NONCLASS,NonCommercial,Non-Dip
347,CHMC,CHHAM CHHA,7,NONCLASS,NonCommercial,Non-Dip
348,CHTP,CHAN TOUM PEANG,7,NONCLASS,NonCommercial,Non-Dip
349,DCSP,DONCHERM,7,NONCLASS,NonCommercial,Non-Dip
350,DYKL,DEY KHLA,7,NONCLASS,NonCommercial,Non-Dip
351,HUDN,HOUN DAN/MOREASPREOUPHNOM,7,NONCLASS,NonCommercial,Non-Dip
352,KMPR,KOMPENG REACH,7,NONCLASS,NonCommercial,Non-Dip
353,KRAY,KRAY,7,NONCLASS,NonCommercial,Non-Dip
354,KREL,KROEL,7,NONCLASS,NonCommercial,Non-Dip
355,KRKO,KRORKORS,7,NONCLASS,NonCommercial,Non-Dip
356,KRPM,KRORNHOUNG,7,NONCLASS,NonCommercial,Non-Dip
357,KRYS,KRAY SAR,7,NONCLASS,NonCommercial,Non-Dip
358,MASK,MEYSAK,7,NONCLASS,NonCommercial,Non-Dip
359,NNON,NEANG NOUN,7,NONCLASS,NonCommercial,Non-Dip
360,PRDL,PRAM DOMLENG,1,FIRST,NonCommercial,Non-Dip
361,PRLO,PRO LOUP,2,NONCLASS,Commercial,Dip
362,PRNG,PRING/KRORB BEK,2,THIRD,NonCommercial,Dip
363,SKRM,SOKROM,7,UNKN,Commercial,Non-Dip
364,SMPN,SAM PONG,2,NONCLASS,NonCommercial,Non-Dip
365,SRAL,SRAL,1,UNKN,NonCommercial,Dip
366,SRKR,SROL KRAHAM,1,FIRST,Commercial,Dip
367,SRLO,SRORLAO,3,UNKN,NonCommercial,Dip
