Block_X,Block_Y,Coordinate_X,Coordinate_Y,Tree Number,SPECODE,SPECIES-GROUP,Diameter (cm),Diameter Class,Height (m),Volume (m^3),Status,Production,Cutting Angle,Damage Crown
1,1,63,48,T01017264,SROL,5,215.68,5,11.31,2.06716474421776e-05,Cut,Cut,296.1,<function calculate_damage_crown at 0x121e67e20>
1,1,43,32,T01012949,SWPR,5,81.45,5,4.48,1.1685786206512714e-06,Cut,Cut,230.2,<function calculate_damage_crown at 0x121e67e20>
1,1,78,85,T01014774,SYCR,5,167.11,5,11.57,1.2687746185776487e-05,Cut,Cut,137.2,<function calculate_damage_crown at 0x121e67e20>
1,1,18,69,T01019929,TAUR,5,221.55,5,7.70,1.4842436927936871e-05,Cut,Cut,8.0,<function calculate_damage_crown at 0x121e67e20>
1,1,98,97,T01012543,TEPI,5,125.48,5,4.24,2.6198796857916417e-06,Cut,Cut,134.1,<function calculate_damage_crown at 0x121e67e20>
1,1,86,81,T01012686,THNR,5,92.01,5,14.86,4.9413576718754485e-06,Cut,Cut,278.9,<function calculate_damage_crown at 0x121e67e20>
1,1,89,91,T01011107,THNS,5,87.99,5,11.51,3.498949233172582e-06,Cut,Cut,158.5,<function calculate_damage_crown at 0x121e67e20>
1,1,18,67,T01014693,TRTM,5,101.38,5,9.17,3.70231407507903e-06,Cut,Cut,11.4,<function calculate_damage_crown at 0x121e67e20>
1,1,18,25,T01013265,TRYG,5,23.63,2,4.74,1.0389498684927066e-07,Keep,,89.2,<function calculate_damage_crown at 0x121e67e20>
1,1,64,39,T01018931,TTRV,5,248.62,5,6.96,1.6895582827986777e-05,Cut,Cut,115.2,<function calculate_damage_crown at 0x121e67e20>
1,1,8,79,T01019759,ANKN,6,171.87,5,2.70,3.1327405227258068e-06,Cut,Cut,312.9,<function calculate_damage_crown at 0x121e67e20>
1,1,64,3,T01011760,ANKT,6,204.03,5,4.24,6.929085787633308e-06,Cut,Cut,75.7,<function calculate_damage_crown at 0x121e67e20>
1,1,13,58,T01011055,ANOM,6,205.75,5,6.50,1.0804608716762094e-05,Cut,Cut,4.0,<function calculate_damage_crown at 0x121e67e20>
1,1,86,73,T01014392,ATNG,6,31.33,3,6.10,2.3523432779430445e-07,Keep,,295.6,<function calculate_damage_crown at 0x121e67e20>
1,1,1,7,T01016690,BADM,6,97.22,5,10.55,3.91626984995608e-06,Cut,Cut,267.9,<function calculate_damage_crown at 0x121e67e20>
1,1,26,48,T01016592,BAKG,6,140.96,5,12.65,9.875239649610362e-06,Cut,Cut,31.4,<function calculate_damage_crown at 0x121e67e20>
1,1,88,42,T01018090,BDNG,6,82.64,5,7.47,2.0042662390464136e-06,Cut,Cut,215.7,<function calculate_damage_crown at 0x121e67e20>
1,1,60,58,T01018751,BELY,6,160.68,5,13.25,1.3440069868269709e-05,Cut,Cut,303.6,<function calculate_damage_crown at 0x121e67e20>
1,1,52,95,T01018010,BKSV,6,248.84,5,10.39,2.526537938477984e-05,Cut,Cut,114.0,<function calculate_damage_crown at 0x121e67e20>
1,1,72,49,T01012717,BNKO,6,94.75,5,13.67,4.818397068711025e-06,Cut,Cut,349.5,<function calculate_damage_crown at 0x121e67e20>
1,1,55,80,T01013174,BYPV,6,67.15,5,10.39,1.8397142540874216e-06,Cut,Cut,197.5,<function calculate_damage_crown at 0x121e67e20>
1,1,52,56,T01014443,CASA,6,186.65,5,9.49,1.2987490603044614e-05,Cut,Cut,228.6,<function calculate_damage_crown at 0x121e67e20>
1,1,87,5,T01017139,CCHB,6,150.35,5,14.86,1.3190592892986868e-05,Cut,Cut,159.2,<function calculate_damage_crown at 0x121e67e20>
1,1,57,34,T01015702,CHMK,6,80.22,5,3.28,8.299259991163844e-07,Cut,Cut,150.5,<function calculate_damage_crown at 0x121e67e20>
1,1,70,58,T01019655,CHNY,6,154.30,5,3.01,2.8135377379199064e-06,Cut,Cut,50.2,<function calculate_damage_crown at 0x121e67e20>
1,1,50,59,T01011482,CHPL,6,161.03,5,8.36,8.511090432562587e-06,Cut,Cut,64.0,<function calculate_damage_crown at 0x121e67e20>
1,1,87,37,T01017219,CHRK,6,70.00,5,5.80,1.1156565648517447e-06,Cut,Cut,148.6,<function calculate_damage_crown at 0x121e67e20>
1,1,1,14,T01017208,CHRM,6,225.89,5,9.58,1.9196980219057375e-05,Cut,Cut,196.7,<function calculate_damage_crown at 0x121e67e20>
1,1,65,83,T01012965,CHRS,6,171.30,5,7.01,8.079268040432633e-06,Cut,Cut,61.7,<function calculate_damage_crown at 0x121e67e20>
1,1,84,54,T01017256,CHUT,6,223.17,5,7.96,1.5574564858095062e-05,Cut,Cut,235.8,<function calculate_damage_crown at 0x121e67e20>
1,1,54,22,T01012839,CKTM,6,126.89,5,2.71,1.7160793330342615e-06,Cut,Cut,162.6,<function calculate_damage_crown at 0x121e67e20>
1,1,66,18,T01018487,CREY,6,118.22,5,13.40,7.357888954101399e-06,Cut,Cut,167.3,<function calculate_damage_crown at 0x121e67e20>
1,1,13,85,T01012064,DKOR,6,62.44,5,3.61,5.535359851770327e-07,Cut,Cut,179.2,<function calculate_damage_crown at 0x121e67e20>
1,1,46,7,T01017069,DOKM,6,117.34,5,8.48,4.585533746982347e-06,Cut,Cut,45.9,<function calculate_damage_crown at 0x121e67e20>
1,1,48,44,T01018449,HISN,6,43.27,3,13.33,9.798966959114097e-07,Keep,,33.0,<function calculate_damage_crown at 0x121e67e20>
1,1,41,23,T01019035,KAOM,6,197.97,5,4.82,7.416996647405996e-06,Cut,Cut,270.3,<function calculate_damage_crown at 0x121e67e20>
1,1,71,41,T01018852,KCAS,6,247.40,5,8.63,2.0737273323585727e-05,Cut,Cut,255.6,<function calculate_damage_crown at 0x121e67e20>
1,1,71,49,T01014119,KDAG,6,66.35,5,9.59,1.658893345476673e-06,Cut,Cut,109.3,<function calculate_damage_crown at 0x121e67e20>
1,1,48,19,T01013752,KDCH,6,31.73,3,10.78,4.2635270104374423e-07,Keep,,115.0,<function calculate_damage_crown at 0x121e67e20>
1,1,45,87,T01019774,KDOL,6,200.33,5,4.31,6.791439887491914e-06,Cut,Cut,218.5,<function calculate_damage_crown at 0x121e67e20>
1,1,27,98,T01019156,KES,6,64.94,5,8.00,1.324339003061437e-06,Cut,Cut,161.8,<function calculate_damage_crown at 0x121e67e20>
1,1,47,36,T01015020,KKCM,6,154.37,5,3.59,3.3582153697510985e-06,Cut,Cut,315.6,<function calculate_damage_crown at 0x121e67e20>
1,1,29,57,T01015232,KKGN,6,169.49,5,6.31,7.123798820282816e-06,Cut,Cut,319.7,<function calculate_damage_crown at 0x121e67e20>
1,1,13,33,T01018075,KKOM,6,52.12,4,14.67,1.565720099294064e-06,Cut,Cut,131.8,<function calculate_damage_crown at 0x121e67e20>
1,1,90,3,T01018142,KNDL,6,119.98,5,12.09,6.83579278646241e-06,Cut,Cut,205.0,<function calculate_damage_crown at 0x121e67e20>
1,1,53,72,T01016315,KNPR,6,217.38,5,14.77,2.7419508651787336e-05,Cut,Cut,77.2,<function calculate_damage_crown at 0x121e67e20>
1,1,39,97,T01016307,KRAG,6,125.01,5,2.80,1.72133380436499e-06,Cut,Cut,255.1,<function calculate_damage_crown at 0x121e67e20>
1,1,62,24,T01014728,KRAS,6,94.85,5,2.74,9.674168094805135e-07,Cut,Cut,138.5,<function calculate_damage_crown at 0x121e67e20>
1,1,75,55,T01014821,KRBO,6,5.09,1,5.78,5.879673354990072e-09,Keep,,152.9,<function calculate_damage_crown at 0x121e67e20>
1,1,71,11,T01012964,KRLA,6,99.51,5,12.89,5.012882330589837e-06,Cut,Cut,145.5,<function calculate_damage_crown at 0x121e67e20>
1,1,68,24,T01012533,KRON,6,189.73,5,7.43,1.0505464925014737e-05,Cut,Cut,326.7,<function calculate_damage_crown at 0x121e67e20>
1,1,66,84,T01018282,KTOM,6,132.02,5,12.84,8.791897500415957e-06,Cut,Cut,252.6,<function calculate_damage_crown at 0x121e67e20>
1,1,17,61,T01013089,KWAV,6,74.27,5,11.36,2.4599478388843583e-06,Cut,Cut,214.2,<function calculate_damage_crown at 0x121e67e20>
1,1,62,76,T01014098,LGNG,6,17.87,2,10.97,1.3764614620347437e-07,Keep,,250.4,<function calculate_damage_crown at 0x121e67e20>
1,1,89,23,T01015937,MAKG,6,184.33,5,5.37,7.170832216253442e-06,Cut,Cut,222.6,<function calculate_damage_crown at 0x121e67e20>
1,1,74,73,T01017308,MAKP,6,161.97,5,9.28,9.565057384636389e-06,Cut,Cut,170.5,<function calculate_damage_crown at 0x121e67e20>
1,1,11,85,T01014153,MAKU,6,7.11,1,4.16,8.244177428815945e-09,Keep,,88.8,<function calculate_damage_crown at 0x121e67e20>
1,1,54,46,T01012929,MNPR,6,88.48,5,5.04,1.5493484390467293e-06,Cut,Cut,78.5,<function calculate_damage_crown at 0x121e67e20>
1,1,49,99,T01016418,NENS,6,179.75,5,8.30,1.0534533685460532e-05,Cut,Cut,123.2,<function calculate_damage_crown at 0x121e67e20>
1,1,50,19,T01017693,PANG,6,217.22,5,14.79,2.7414127480487106e-05,Cut,Cut,292.3,<function calculate_damage_crown at 0x121e67e20>
1,1,92,44,T01015075,PHNV,6,212.48,5,4.45,7.887827550063604e-06,Cut,Cut,256.7,<function calculate_damage_crown at 0x121e67e20>
1,1,47,67,T01018962,PHON,6,8.17,1,3.58,9.392873581539314e-09,Keep,,350.3,<function calculate_damage_crown at 0x121e67e20>
1,1,6,43,T01015603,PHUT,6,105.23,5,4.91,2.1342350690713196e-06,Cut,Cut,211.6,<function calculate_damage_crown at 0x121e67e20>
1,1,30,42,T01015780,PLON,6,114.32,5,6.97,3.5772229269794905e-06,Cut,Cut,141.0,<function calculate_damage_crown at 0x121e67e20>
1,1,89,78,T01012722,PNAG,6,103.47,5,6.57,2.7626412356046276e-06,Cut,Cut,84.3,<function calculate_damage_crown at 0x121e67e20>
1,1,99,26,T01012473,PNGS,6,53.95,4,11.40,1.3028723560550344e-06,Cut,Cut,141.8,<function calculate_damage_crown at 0x121e67e20>
1,1,80,66,T01013161,POBY,6,94.65,5,12.24,4.305944356848811e-06,Cut,Cut,211.3,<function calculate_damage_crown at 0x121e67e20>
1,1,69,26,T01011934,POCV,6,105.41,5,8.76,3.822000112732607e-06,Cut,Cut,250.9,<function calculate_damage_crown at 0x121e67e20>
1,1,37,47,T01018623,POKH,6,108.67,5,11.15,5.171616135406614e-06,Cut,Cut,335.4,<function calculate_damage_crown at 0x121e67e20>
1,1,65,93,T01018489,PONR,6,93.03,5,10.28,3.493477154215136e-06,Cut,Cut,164.5,<function calculate_damage_crown at 0x121e67e20>
1,1,68,76,T01011623,PPTH,6,37.62,3,3.46,1.9231631093299467e-07,Keep,,263.6,<function calculate_damage_crown at 0x121e67e20>
1,1,20,57,T01017079,PPUL,6,136.10,5,8.79,6.3950484693478545e-06,Cut,Cut,104.1,<function calculate_damage_crown at 0x121e67e20>
1,1,93,72,T01013605,PRPN,6,217.25,5,11.73,2.174169446947159e-05,Cut,Cut,280.5,<function calculate_damage_crown at 0x121e67e20>
1,1,24,18,T01016679,PRUS,6,216.13,5,9.98,1.8300863380720105e-05,Cut,Cut,349.1,<function calculate_damage_crown at 0x121e67e20>
1,1,35,42,T01012207,PYPK,6,189.18,5,12.57,1.7665833530771366e-05,Cut,Cut,82.5,<function calculate_damage_crown at 0x121e67e20>
1,1,7,68,T01018252,RAIT,6,92.47,5,12.00,4.030979593197755e-06,Cut,Cut,26.6,<function calculate_damage_crown at 0x121e67e20>
1,1,44,24,T01019161,ROKA,6,225.04,5,5.28,1.0511735875959892e-05,Cut,Cut,44.0,<function calculate_damage_crown at 0x121e67e20>
1,1,44,68,T01015535,RUNG,6,222.54,5,7.07,1.3749657833249963e-05,Cut,Cut,85.9,<function calculate_damage_crown at 0x121e67e20>
1,1,36,10,T01015185,SABL,6,113.16,5,8.72,4.3874722189067265e-06,Cut,Cut,155.7,<function calculate_damage_crown at 0x121e67e20>
1,1,62,21,T01018879,SARG,6,169.76,5,5.01,5.669145868472013e-06,Cut,Cut,72.2,<function calculate_damage_crown at 0x121e67e20>
1,1,46,52,T01012870,SBMS,6,197.44,5,9.20,1.409151922641154e-05,Cut,Cut,249.2,<function calculate_damage_crown at 0x121e67e20>
1,1,95,94,T01019800,SDAV,6,42.85,3,2.92,2.107850139012138e-07,Keep,,125.7,<function calculate_damage_crown at 0x121e67e20>
1,1,72,43,T01015278,SDEY,6,54.63,4,6.84,8.020213996316953e-07,Cut,Cut,5.1,<function calculate_damage_crown at 0x121e67e20>
1,1,12,48,T01017216,SLEN,6,143.92,5,14.49,1.178816883003078e-05,Cut,Cut,348.2,<function calculate_damage_crown at 0x121e67e20>
1,1,42,25,T01018880,SMCH,6,25.62,2,7.33,1.8883175549489448e-07,Keep,,168.8,<function calculate_damage_crown at 0x121e67e20>
1,1,22,11,T01011677,SME,6,72.96,5,6.01,1.2568803767002537e-06,Cut,Cut,137.2,<function calculate_damage_crown at 0x121e67e20>
1,1,20,80,T01011942,SMKB,6,116.75,5,14.00,7.494931615301822e-06,Cut,Cut,266.5,<function calculate_damage_crown at 0x121e67e20>
1,1,66,81,T01018580,SNAY,6,172.21,5,5.40,6.292937907482806e-06,Cut,Cut,28.1,<function calculate_damage_crown at 0x121e67e20>
1,1,58,81,T01019616,SNOL,6,249.25,5,13.82,3.372794464719789e-05,Cut,Cut,60.8,<function calculate_damage_crown at 0x121e67e20>
1,1,10,57,T01014830,SOUY,6,19.64,2,14.45,2.1896399777157937e-07,Keep,,277.6,<function calculate_damage_crown at 0x121e67e20>
1,1,84,47,T01019287,SPOR,6,59.00,4,4.75,6.492636157444486e-07,Cut,Cut,48.3,<function calculate_damage_crown at 0x121e67e20>
1,1,20,31,T01012278,SPPY,6,62.08,5,4.56,6.902719298300668e-07,Cut,Cut,310.1,<function calculate_damage_crown at 0x121e67e20>
1,1,74,48,T01011878,SPTK,6,112.57,5,5.22,2.5983805940231122e-06,Cut,Cut,183.4,<function calculate_damage_crown at 0x121e67e20>
1,1,77,50,T01012351,SRKM,6,203.05,5,11.94,1.9339045475680366e-05,Cut,Cut,339.7,<function calculate_damage_crown at 0x121e67e20>
1,1,27,96,T01012863,SVAK,6,62.59,5,3.57,5.495735974248452e-07,Cut,Cut,337.4,<function calculate_damage_crown at 0x121e67e20>
1,1,2,91,T01011783,SVCT,6,214.09,5,6.05,1.089672821481968e-05,Cut,Cut,227.2,<function calculate_damage_crown at 0x121e67e20>
1,1,73,41,T01019620,SVPT,6,202.02,5,10.36,1.6603659434958553e-05,Cut,Cut,74.8,<function calculate_damage_crown at 0x121e67e20>
1,1,42,68,T01011187,TKOV,6,79.11,5,7.77,1.909896968155572e-06,Cut,Cut,355.2,<function calculate_damage_crown at 0x121e67e20>
1,1,12,34,T01019351,TLOK,6,16.53,2,10.33,1.108888886510703e-07,Keep,,241.3,<function calculate_damage_crown at 0x121e67e20>
1,1,61,24,T01012464,TOLP,6,46.32,4,6.92,5.82741393196009e-07,Cut,Cut,83.5,<function calculate_damage_crown at 0x121e67e20>
1,1,42,57,T01013598,TPOG,6,243.00,5,4.32,1.0025488797045902e-05,Cut,Cut,276.1,<function calculate_damage_crown at 0x121e67e20>
1,1,58,68,T01019503,TRAG,6,98.70,5,8.96,3.426610657365931e-06,Cut,Cut,49.6,<function calculate_damage_crown at 0x121e67e20>
1,1,29,34,T01016846,TREN,6,50.22,4,3.51,3.480430296684458e-07,Cut,Cut,96.5,<function calculate_damage_crown at 0x121e67e20>
1,1,45,42,T01013295,TRMN,6,48.69,4,13.05,1.2146272844867916e-06,Cut,Cut,153.6,<function calculate_damage_crown at 0x121e67e20>
1,1,0,7,T01018505,TRSK,6,169.03,5,3.94,4.426330238238091e-06,Cut,Cut,307.4,<function calculate_damage_crown at 0x121e67e20>
1,1,89,43,T01019871,WYNG,6,107.72,5,7.26,3.3098101167489443e-06,Cut,Cut,238.2,<function calculate_damage_crown at 0x121e67e20>
1,1,72,22,T01013038,ACSA,7,141.20,5,13.77,1.077984917735675e-05,Cut,Cut,128.7,<function calculate_damage_crown at 0x121e67e20>
1,1,94,26,T01011921,ADCH,7,32.25,3,9.58,3.915202920242329e-07,Keep,,255.9,<function calculate_damage_crown at 0x121e67e20>
1,1,20,22,T01013480,AKSL,7,163.54,5,7.92,8.323511707625682e-06,Cut,Cut,89.3,<function calculate_damage_crown at 0x121e67e20>
1,1,79,65,T01013998,AMBB,7,156.27,5,3.07,2.9444062090185865e-06,Cut,Cut,87.2,<function calculate_damage_crown at 0x121e67e20>
1,1,92,29,T01015664,AMCN,7,64.45,5,14.95,2.4391252036495605e-06,Cut,Cut,65.0,<function calculate_damage_crown at 0x121e67e20>
1,1,81,78,T01017463,AMPI,7,96.89,5,14.36,5.2962313847379916e-06,Cut,Cut,153.6,<function calculate_damage_crown at 0x121e67e20>
1,1,15,12,T01019870,ANCH,7,35.00,3,3.13,1.5081178260022948e-07,Keep,,211.6,<function calculate_damage_crown at 0x121e67e20>
1,1,70,33,T01017053,ANKB,7,8.95,1,14.27,4.491537714531635e-08,Keep,,277.5,<function calculate_damage_crown at 0x121e67e20>
1,1,74,75,T01018486,ANRD,7,215.32,5,8.05,1.466238289697251e-05,Cut,Cut,331.8,<function calculate_damage_crown at 0x121e67e20>
1,1,29,13,T01016152,APEN,7,13.99,1,9.15,7.035628372959971e-08,Keep,,190.2,<function calculate_damage_crown at 0x121e67e20>
1,1,17,38,T01011616,ATES,7,140.66,5,4.95,3.846472467346518e-06,Cut,Cut,36.5,<function calculate_damage_crown at 0x121e67e20>
1,1,95,28,T01016210,ATSR,7,19.33,2,7.79,1.1427862387783617e-07,Keep,,338.8,<function calculate_damage_crown at 0x121e67e20>
1,1,99,39,T01012731,BAKK,7,151.62,5,7.58,6.846071379607109e-06,Cut,Cut,295.1,<function calculate_damage_crown at 0x121e67e20>
1,1,19,12,T01016552,BAKP,7,100.64,5,6.73,2.675698031878722e-06,Cut,Cut,255.5,<function calculate_damage_crown at 0x121e67e20>
1,1,51,62,T01015312,BBOK,7,165.76,5,11.79,1.272364416047531e-05,Cut,Cut,244.0,<function calculate_damage_crown at 0x121e67e20>
1,1,93,23,T01017752,BOPR,7,230.11,5,8.91,1.8535969275182843e-05,Cut,Cut,168.8,<function calculate_damage_crown at 0x121e67e20>
1,1,91,46,T01013819,BRCH,7,181.90,5,14.57,1.892908475735066e-05,Cut,Cut,86.7,<function calculate_damage_crown at 0x121e67e20>
1,1,55,22,T01018223,BTIL,7,38.53,3,5.45,3.176436852436557e-07,Keep,,167.4,<function calculate_damage_crown at 0x121e67e20>
1,1,17,48,T01018152,CABB,7,117.84,5,12.19,6.6487784227195185e-06,Cut,Cut,38.4,<function calculate_damage_crown at 0x121e67e20>
1,1,37,65,T01011123,CHCK,7,119.08,5,10.30,5.737229652470021e-06,Cut,Cut,335.5,<function calculate_damage_crown at 0x121e67e20>
1,1,90,45,T01017069,CHEK,7,170.68,5,13.89,1.5892148813572694e-05,Cut,Cut,297.5,<function calculate_damage_crown at 0x121e67e20>
1,1,17,88,T01017473,CHHA,7,213.14,5,5.32,9.499705620573136e-06,Cut,Cut,336.5,<function calculate_damage_crown at 0x121e67e20>
1,1,90,4,T01012530,CHHU,7,215.51,5,6.82,1.2438714826523218e-05,Cut,Cut,55.6,<function calculate_damage_crown at 0x121e67e20>
1,1,27,28,T01013599,CHKG,7,115.59,5,9.86,5.175190204487595e-06,Cut,Cut,55.2,<function calculate_damage_crown at 0x121e67e20>
1,1,48,45,T01012905,CHKP,7,186.85,5,11.22,1.539042598249084e-05,Cut,Cut,164.2,<function calculate_damage_crown at 0x121e67e20>
1,1,96,36,T01019111,CHKU,7,37.01,3,7.43,3.9963519817957903e-07,Keep,,100.6,<function calculate_damage_crown at 0x121e67e20>
1,1,78,91,T01019780,CHLS,7,197.21,5,12.64,1.9301030428206924e-05,Cut,Cut,187.4,<function calculate_damage_crown at 0x121e67e20>
1,1,16,79,T01015033,CHNA,7,48.80,4,4.19,3.923821232617913e-07,Cut,Cut,228.2,<function calculate_damage_crown at 0x121e67e20>
1,1,14,77,T01017324,CHNO,7,232.87,5,9.48,2.0181593141862285e-05,Cut,Cut,104.5,<function calculate_damage_crown at 0x121e67e20>
